Space Group|Serial No.|Multiplicity|Wyckoff Letter|Site Symmetry|Position|||
P 2 c m|140|||||||
||4|d|1|(x,y,z)|(x,-y,-z)|(x,-y,z+1/2)|(x,y,-z+1/2)
||2|c|m..|(x,y,1/4)|(x,-y,3/4)||
||2|b|..2|(x,1/2,0)|(x,1/2,1/2)||
||2|a|..2|(x,0,0)|(x,0,1/2)||
P c 2 m|141|||||||
||4|d|1|(x,y,z)|(-x,y,-z)|(-x,y,z+1/2)|(x,y,-z+1/2)
||2|c|m..|(x,y,1/4)|(-x,y,3/4)||
||2|b|..2|(1/2,y,0)|(1/2,y,1/2)||
||2|a|..2|(0,y,0)|(0,y,1/2)||
P m 2 a|142|||||||
||4|d|1|(x,y,z)|(-x,y,-z)|(x+1/2,y,-z)|(-x+1/2,y,z)
||2|c|m..|(1/4,y,z)|(3/4,y,-z)||
||2|b|..2|(0,y,1/2)|(1/2,y,1/2)||
||2|a|..2|(0,y,0)|(1/2,y,0)||
P c a 21|143|||||||
||4|a|1|(x,y,z)|(-x,-y,z+1/2)|(x+1/2,-y,z)|(-x+1/2,y,z+1/2)
P b c 21|144|||||||
||4|a|1|(x,y,z)|(-x,-y,z+1/2)|(-x,y+1/2,z)|(x,-y+1/2,z+1/2)
P 21 a b|145|||||||
||4|a|1|(x,y,z)|(x+1/2,-y,-z)|(x,y+1/2,-z)|(x+1/2,-y+1/2,z)
P 21 c a|146|||||||
||4|a|1|(x,y,z)|(x+1/2,-y,-z)|(x,-y,z+1/2)|(x+1/2,y,-z+1/2)
P c 21 b|147|||||||
||4|a|1|(x,y,z)|(-x,y+1/2,-z)|(-x,y,z+1/2)|(x,y+1/2,-z+1/2)
P b 21 a|148|||||||
||4|a|1|(x,y,z)|(-x,y+1/2,-z)|(x+1/2,y,-z)|(-x+1/2,y+1/2,z)
P n c 2|149|||||||
||4|c|1|(x,y,z)|(-x,-y,z)|(x,-y+1/2,z+1/2)|(-x,y+1/2,z+1/2)
||2|b|..2|(1/2,0,z)|(1/2,1/2,z+1/2)||
||2|a|..2|(0,0,z)|(0,1/2,z+1/2)||
P c n 2|150|||||||
