0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 
(1+4) 0 (0+22) 1 2 (3+2) 3 (2+3) 4 (5+6) 5 (5+7) 6 7 (7+5) 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 
0 1 (1+3) (8+4) 2 (3+1) (5+3) 3 (5+1) (6+5) (5+7) 4 (7+5) (3+5) 5 (5+6) 6 7 (5+7) 8 (7+5) 9 10 11 12 13 14 15 16 17 18 19 
(0+4)mLA1 (0+3) 0 (2+0) (0+2) (3+0) 1 2 3 (4+0) 4 (3+6) (1+0) (4+19) (6+3) 5 6 7 8 9 (11+10) (11+10) 10 (13+8) 11 (8+13) 12 13 14 15 16 17 
0 (1+0) (0+11) (7+4) 1 (2+1) (4+8) 2 (4+7) 3 (20+4) (4+2) 4 5 (7+3) (3+8) (2+6) (0+1) 6 7 (6+2) 8 (12+8) 9 10 (8+3) 11 12 (4+20) (8+12) 13 (13+15) 
(12+0) 0 (1+3) 1 (1+6) (2+6) (3+1) (8+3) 2 (22+2) 3 4 (13+22) (14+3) (6+1) (13+7) 5 6 (7+6) (5+10) 7 (3+8) (7+9) (11+12) 8 (4+3) 9 (22+13) 10 11 (9+7) (6+7) 
0 (0+5) (0+11) 1 (10+2) (2+10) 2 (3+7) 3 (4+2) (2+4) (2+19) 4 (7+3)mZPR (8+14) (5+13) 5 6 7 (5+0) 8 9 10 11 12 13 (11+22) 14 15 16 (17+18) (14+15) 
(3+6) 0 (14+6) 1 2 (1+6) (7+0) 3 4 (6+13) (0+7) 5 (9+0) 6 (6+1) (7+6) 7 (1+5) (7+9) 8 9 (5+22) (10+3) 10 (9+7) (6+3) (13+6) (18+0) 11 (5+1) 12 13 
(7+3) 0 1 (9+1) (7+3) (5+1) 2 3 4 (4+5) (3+7) (5+4) (3+5) (5+3) (4+5) 5 (5+4) 6 (3+12) (3+7) 7 (3+19) 8 (1+9) 9 10 11 (15+13) 12 13 14 (13+15) 
0 (0+6) (0+2) (8+0) (0+12) (8+0) (0+8) (6+0) (12+0) (0+8) 1 (2+1) 2 (1+2) (5+8) (2+0) (4+2) 3 (1+0) 4 5 6 7 8 9 (4+7) (9+11) 10 11 12 (7+4) (15+10) 
0 1 (0+25) 2 (6+3) (4+1) (1+4) 3 4 (3+9) (0+8) (2+5) (5+2) (13+1) (19+5) (0+7) (13+5) 5 (3+6) (1+13) 6 (12+3) 7 (8+0) 8 9 (9+3) 10 11 (5+19) (13+5) 12 
